"Territorio","Value"
"Alcamo","44569"
"Alcara li Fusi","1702"
"Alessandria della Rocca","2452"
"Alì","657"
"Alì Terme","2315"
"Alia","3305"
"Alimena","1761"
"Aliminusa","1054"
"Altavilla Milicia","8668"
"Aragona","8766"
"Avola","30392"
"Bagheria","52928"
"Agrigento","412472"
"Siracusa","383738"
"Trapani","55559"
"Palermo","630167"
"Messina","218786"
"Agrigento","55512"
"Caltanissetta","58532"
"Enna","25512"
"Catania","298762"
"Ragusa","73159"
"Siracusa","116244"
"Acate","10576"
"Aci Bonaccorsi","3499"
"Aci Castello","17852"
"Aci Catena","27790"
"Aci Sant'Antonio","17995"
"Acireale","50515"
"Acquaviva Platani","869"
"Acquedolci","5483"
"Adrano","33899"
"Agira","7671"
"Aidone","4183"
"Altofonte","9848"
"Antillo","808"
"Assoro","4827"
"Augusta","34658"
"Balestrate","6229"
"Barcellona Pozzo di Gotto","39885"
"Barrafranca","11813"
"Basicò","596"
"Biancavilla","22918"
"Bisacquino","4128"
"Bivona","3214"
"Blufi","876"
"Bolognetta","4090"
"Bompensiere","491"
"Bompietro","1197"
"Borgetto","7062"
"Brolo","5736"
"Bronte","18220"
"Buccheri","1729"
"Burgio","2497"
"Buscemi","950"
"Buseto Palizzolo","2761"
"Butera","4164"
"Caccamo","7663"
"Cammarata","5896"
"Campobello di Licata","9062"
"Campobello di Mazara","11382"
"Campofelice di Fitalia","452"
"Campofelice di Roccella","7666"
"Campofiorito","1134"
"Campofranco","2656"
"Camporeale","2990"
"Camporotondo Etneo","5214"
"Canicattì","34449"
"Canicattini Bagni","6517"
"Capaci","11339"
"Capizzi","2844"
"Capo d'Orlando","13031"
"Capri Leone","4353"
"Casteldaccia","11585"
"Baucina","1858"
"Belmonte Mezzagno","10858"
"Belpasso","27977"
"Calamonaci","1158"
"Calascibetta","4062"
"Calatabiano","5121"
"Calatafimi-Segesta","6127"
"Caltabellotta","3194"
"Caltagirone","35765"
"Caltavuturo","3558"
"Camastra","2010"
"Carini","39773"
"Carlentini","17040"
"Caronia","3042"
"Casalvecchio Siculo","726"
"Cassaro","724"
"Castel di Iudica","4269"
"Castel di Lucio","1226"
"Castelbuono","8100"
"Castellammare del Golfo","14610"
"Castellana Sicula","3020"
"Castell'Umberto","2830"
"Castelmola","1062"
"Casteltermini","7269"
"Castelvetrano","29341"
"Castiglione di Sicilia","2903"
"Castrofilippo","2618"
"Castronovo di Sicilia","2821"
"Castroreale","2246"
"Catenanuova","4473"
"Cattolica Eraclea","3300"
"Centuripe","5033"
"Cerami","1849"
"Cerda","4923"
"Cesarò","2165"
"Comiso","30016"
"Comitini","852"
"Condrò","471"
"Contessa Entellina","1502"
"Corleone","10364"
"Erice","26089"
"Ficarazzi","12991"
"Cefalà Diana","981"
"Cefalù","13881"
"Chiaramonte Gulfi","7988"
"Chiusa Sclafani","2530"
"Cianciana","3103"
"Ciminna","3428"
"Cinisi","11936"
"Custonaci","5274"
"Delia","3858"
"Falcone","2793"
"Favara","31593"
"Favignana","4525"
"Ferla","2305"
"Ficarra","1286"
"Fiumedinisi","1275"
"Fiumefreddo di Sicilia","9073"
"Floresta","469"
"Floridia","21182"
"Fondachelli-Fantina","989"
"Francavilla di Sicilia","3543"
"Francofonte","11746"
"Frazzanò","587"
"Furci Siculo","3211"
"Furnari","4003"
"Gaggi","3091"
"Gagliano Castelferrato","3266"
"Galati Mamertino","2261"
"Gallodoro","336"
"Gangi","6110"
"Giardini-Naxos","9231"
"Giarratana","2830"
"Giarre","26510"
"Gibellina","3724"
"Gioiosa Marea","6733"
"Giuliana","1683"
"Godrano","1036"
"Grammichele","12407"
"Graniti","1460"
"Gravina di Catania","25185"
"Grotte","5209"
"Gualtieri Sicaminò","1580"
"Itala","1513"
"Joppolo Giancaxio","1082"
"Lampedusa e Linosa","6505"
"Lascari","3677"
"Leni","682"
"Lentini","21646"
"Leonforte","12331"
"Lercara Friddi","6182"
"Longi","1321"
"Malfa","994"
"Forza d'Agrò","835"
"Gela","71217"
"Geraci Siculo","1702"
"Giardinello","2262"
"Gratteri","859"
"Isnello","1306"
"Isola delle Femmine","7041"
"Ispica","16253"
"Letojanni","2842"
"Librizzi","1579"
"Licata","34287"
"Licodia Eubea","2731"
"Limina","729"
"Linguaglossa","5003"
"Lipari","12565"
"Lucca Sicula","1719"
"Maletto","3599"
"Malvagna","629"
"Mandanici","505"
"Maniace","3757"
"Marianopoli","1600"
"Marsala","79809"
"Mascali","14330"
"Mascalucia","31964"
"Mazara del Vallo","50039"
"Mazzarino","10932"
"Mazzarrà Sant'Andrea","1388"
"Mazzarrone","3965"
"Melilli","13171"
"Menfi","11814"
"Merì","2281"
"Monforte San Giorgio","2508"
"Mongiuffi Melia","528"
"Monreale","38698"
"Montagnareale","1393"
"Montalbano Elicona","2038"
"Montallegro","2377"
"Montedoro","1379"
"Monterosso Almo","2783"
"Montevago","2695"
"Niscemi","24934"
"Nissoria","2844"
"Nizza di Sicilia","3526"
"Noto","24264"
"Novara di Sicilia","1174"
"Oliveri","2086"
"Pace del Mela","5980"
"Paceco","10779"
"Pagliara","1118"
"Palazzo Adriano","1814"
"Palazzolo Acreide","8101"
"Palma di Montechiaro","21373"
"Petrosino","7903"
"Pettineo","1236"
"Piana degli Albanesi","5541"
"Marineo","6113"
"Mezzojuso","2617"
"Milazzo","30043"
"Milena","2700"
"Militello in Val di Catania","6765"
"Militello Rosmarino","1163"
"Milo","1039"
"Mineo","4486"
"Mirabella Imbaccari","4217"
"Mirto","889"
"Misilmeri","28760"
"Misterbianco","49017"
"Mistretta","4364"
"Modica","53503"
"Moio Alcantara","677"
"Montelepre","5742"
"Montemaggiore Belsito","2949"
"Motta Camastra","794"
"Motta d'Affermo","657"
"Motta Sant'Anastasia","12081"
"Mussomeli","9913"
"Naro","7007"
"Naso","3462"
"Nicolosi","7594"
"Nicosia","12686"
"Pachino","21714"
"Palagonia","15784"
"Pantelleria","7352"
"Partanna","9838"
"Partinico","30674"
"Paternò","45162"
"Patti","12699"
"Pedara","15058"
"Petralia Soprana","2968"
"Petralia Sottana","2475"
"Piazza Armerina","20642"
"Piedimonte Etneo","3898"
"Pietraperzia","6303"
"Piraino","3778"
"Poggioreale","1303"
"Polizzi Generosa","2908"
"Porto Empedocle","15600"
"Portopalo di Capo Passero","3782"
"Pozzallo","18879"
"Priolo Gargallo","11249"
"Prizzi","4172"
"Racalmuto","7650"
"Raccuja","864"
"Raddusa","2812"
"Raffadali","12008"
"Ragalna","4204"
"Ramacca","10211"
"Randazzo","10186"
"Ravanusa","10349"
"Realmonte","4378"
"Regalbuto","6664"
"Reitano","723"
"Resuttano","1752"
"Riesi","10502"
"Riposto","14007"
"Roccapalumba","2162"
"Rometta","6573"
"Pollina","2853"
"Ribera","17836"
"Roccafiorita","173"
"Roccalumera","3940"
"Roccamena","1339"
"Roccavaldina","998"
"Roccella Valdemone","562"
"Rodì Milici","1932"
"Rosolini","20577"
"Salaparuta","1562"
"Salemi","9986"
"Sambuca di Sicilia","5341"
"San Biagio Platani","2860"
"San Cataldo","20939"
"San Cipirello","4961"
"San Cono","2416"
"San Filippo del Mela","6728"
"San Fratello","3259"
"San Giovanni Gemini","7517"
"San Giovanni la Punta","23725"
"San Giuseppe Jato","8055"
"San Gregorio di Catania","11485"
"San Marco d'Alunzio","1778"
"San Mauro Castelverde","1346"
"San Michele di Ganzaria","2878"
"San Pier Niceto","2595"
"San Piero Patti","2570"
"San Pietro Clarenza","8297"
"San Salvatore di Fitalia","1119"
"San Teodoro","1238"
"San Vito Lo Capo","4814"
"Santa Caterina Villarmosa","4673"
"Santa Cristina Gela","1006"
"Santa Croce Camerina","10979"
"Santa Domenica Vittoria","852"
"Santa Elisabetta","2182"
"Santa Flavia","11000"
"Santa Lucia del Mela","4379"
"Santa Margherita di Belice","6056"
"Santa Maria di Licodia","7482"
"Santa Marina Salina","859"
"Santa Ninfa","4770"
"Santo Stefano Quisquina","4070"
"Saponara","3687"
"Savoca","1724"
"Scaletta Zanclea","1836"
"Sciacca","38967"
"Sciara","2524"
"Scicli","26854"
"Scillato","591"
"Sclafani Bagni","375"
"Scordia","16042"
"Sinagra","2474"
"Solarino","7513"
"Sutera","1178"
"Taormina","10471"
"Trecastagni","11265"
"Tremestieri Etneo","19557"
"Valledolmo","3174"
"Vallelunga Pratameno","3113"
"Santa Teresa di Riva","9335"
"Santa Venerina","8452"
"Sant'Agata di Militello","11866"
"Sant'Agata li Battiati","9351"
"Sant'Alessio Siculo","1544"
"Sant'Alfio","1509"
"Sant'Angelo di Brolo","2760"
"Sant'Angelo Muxaro","1152"
"Santo Stefano di Camastra","4348"
"Serradifalco","5493"
"Siculiana","4161"
"Sommatino","6397"
"Sortino","8234"
"Spadafora","4687"
"Sperlinga","674"
"Terme Vigliatore","7218"
"Termini Imerese","24920"
"Terrasini","12833"
"Torregrotta","7259"
"Torrenova","4492"
"Torretta","4278"
"Tortorici","5705"
"Trabia","10561"
"Trappeto","3058"
"Tripi","750"
"Troina","8550"
"Tusa","2585"
"Ucria","908"
"Ustica","1311"
"Valderice","11480"
"Valdina","1257"
"Valverde","7824"
"Venetico","3940"
"Ventimiglia di Sicilia","1824"
"Viagrande","8861"
"Vicari","2440"
"Villabate","19634"
"Villafranca Sicula","1332"
"Villafranca Tirrena","8035"
"Villafrati","3107"
"Villalba","1407"
"Villarosa","4377"
"Vita","1813"
"Zafferana Etnea","9324"
"Valguarnera Caropepe","6961"
"Vittoria","63316"
"Vizzini","5702"
"Collesano","3650"
"Misiliscemi","8159"
